,Year,Combustible,Type,Subtype,Unit,Domestic,Imports,Total
0,2000,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,45502156.0,91965.0,45594121.0
1,2000,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,859727284.9648438,25024315.46875,884751600.4335938
2,2000,Combustible Tobacco,Cigars,Total Cigars,Cigars,22802273.5240625,2227237.1875,25029510.7115625
3,2000,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,16841656.0,1427444.0009375,18269100.0009375
4,2000,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,16841656.0,1427444.0,18269100.0
5,2000,Combustible Tobacco,Cigars,Small Cigars,Cigars,9112736.11625,146449.0625,9259185.17875
6,2000,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,5352683.0,739887.0,6092570.0
7,2000,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,11488973.000781251,687557.0,12176530.000781251
8,2000,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,11488973.0,687557.0,12176530.0
9,2000,Combustible Tobacco,Cigars,Large Cigars,Cigars,13689537.4078125,2080788.125,15770325.5328125
10,2000,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,5352682.99921875,739887.0009375,6092570.00015625
11,2000,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,66134630.0,17729.0,66152359.0
12,2000,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,887970077.7268751,27565378.0634375,915535455.7903125
13,2001,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,4918355.999375001,1002060.9990625001,5920417.0004687505
14,2001,Combustible Tobacco,Cigars,Total Cigars,Cigars,23298880.8121875,2473156.5625,25772037.3746875
15,2001,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,49397524.0,102162.0,49499686.0
16,2001,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,69804806.0,11675.0,69816481.0
17,2001,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,836938468.0129688,29836848.4375,866775316.4504688
18,2001,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,13570691.0,1925219.0,15495910.0
19,2001,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,13570690.99953125,1925218.9998437501,15495909.999375
20,2001,Combustible Tobacco,Cigars,Large Cigars,Cigars,14477601.98625,2196991.875,16674593.86125
21,2001,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,8652335.0,923158.0,9575493.0
22,2001,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,8652335.00015625,923158.0007812501,9575493.000937501
23,2001,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,4918356.0,1002061.0,5920417.0
